0,1,2,3,4,5,6,7,8,9,10
1289,best,thing,since,sliced,bread,JJT                 ,NN1                 ,CS_II@              ,JJ                  ,NN1
1274,through,Jesus,Christ,our,Lord,II                  ,NP1                 ,NP1                 ,APPGE               ,NN1
1266,Turkish,President,Recep,Tayyip,Erdogan,JJ                  ,NNB                 ,NP1                 ,NP1                 ,NP1
1234,New,York,State,Education,Department,NP1                 ,NP1                 ,NN1_NP1@_VV0        ,NN1                 ,NN1
1217,did,n't ,even,know,what,VDD                 ,XX                  ,RR                  ,VVI                 ,DDQ
1202,great,power,comes,great,responsibility,JJ                  ,NN1                 ,VVZ                 ,JJ                  ,NN1
1202,Quebec,Major,Junior,Hockey,League,NP1                 ,NNB                 ,NP1                 ,NN1                 ,NN1
1176,Canadian,Prime,Minister,Justin,Trudeau,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
1174,did,n't ,really,know,what,VDD                 ,XX                  ,RR                  ,VVI                 ,DDQ
1173,contact,our,customer,service,team,VV0                 ,APPGE               ,NN1                 ,NN1                 ,NN1
1170,What,could,possibly,go,wrong,DDQ                 ,VM                  ,RR                  ,VVI                 ,RR
1169,had,never,seen,anything,like,VHD                 ,RR                  ,VVN                 ,PN1                 ,II
1164,North,American,International,Auto,Show,NP1                 ,JJ                  ,JJ                  ,NN1                 ,NN1_VV0
1153,national,security,adviser,Michael,Flynn,JJ                  ,NN1                 ,NN1                 ,NP1                 ,NP1
1153,United,States,Environmental,Protection,Agency,NP1                 ,NP1                 ,JJ                  ,NN1                 ,NN1
1149,White,House,Press,Secretary,Sean,NP1                 ,NN1                 ,NN1_VV0             ,NN1_NP1@            ,NP1
1148,House,Press,Secretary,Sean,Spicer,NN1                 ,NN1_VV0             ,NN1_NP1@            ,NP1                 ,NP1
1141,did,n't ,know,much,about,VDD                 ,XX                  ,VVI                 ,RR_DA1              ,II
1128,without,our,prior,written,consent,IW                  ,APPGE               ,JJ_RR               ,JJ@_VVN             ,NN1
1122,Movie,News,Served,Fresh,Daily,NN1                 ,NN1                 ,VVD_VVN             ,JJ                  ,NN1@_NP1
1118,comes,with,its,own,set,VVZ                 ,IW                  ,APPGE               ,DA                  ,NN1
1117,spend,some,quality,time,with,VVI                 ,DD                  ,NN1                 ,NNT1                ,IW
1103,Democratic,presidential,candidate,Hillary,Clinton,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
1089,spending,time,with,her,family,JJ@_VVG_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
1085,Horror,Movie,News,Served,Fresh,NN1                 ,NN1                 ,NN1                 ,VVD_VVN             ,JJ
1085,Latest,Horror,Movie,News,Served,JJT                 ,NN1                 ,NN1                 ,NN1                 ,VVD_VVN
1073,going,away,any,time,soon,VVG                 ,RL                  ,DD                  ,NNT1                ,RR
1067,come,up,with,new,ideas,VVI                 ,RP                  ,IW                  ,JJ                  ,NN2
1066,has,found,its,way,into,VHZ                 ,VVN                 ,APPGE               ,NN1                 ,II
1041,Great,Smoky,Mountains,National,Park,JJ                  ,NP1                 ,NNL2                ,JJ                  ,NN1_NP1
1040,Beth,Israel,Deaconess,Medical,Center,NP1                 ,NP1                 ,NN1                 ,JJ                  ,NN1
1029,Democratic,presidential,nominee,Hillary,Clinton,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
1026,enjoy,spending,time,with,my,VV0                 ,VVG_JJ@_NN1         ,NNT1                ,IW                  ,APPGE
1023,Los,Angeles,Unified,School,District,NP1                 ,NP1                 ,JJ                  ,NN1                 ,NN1
1009,International,English,Language,Testing,System,JJ                  ,JJ_NN1              ,NN1                 ,NN1_VVG_NP1         ,NN1
1008,dumps,Demo,available,before,purchase,NN2                 ,NP1_NN1             ,JJ                  ,II_CS               ,NN1
1008,pdf,Demo,available,before,purchase,NNU                 ,NN1_NP1             ,JJ                  ,II_CS               ,NN1
1007,take,matters,into,their,own,VVI                 ,NN2                 ,II                  ,APPGE               ,DA
1005,with,Russian,President,Vladimir,Putin,IW                  ,JJ                  ,NNB                 ,NP1                 ,NP1
1004,Israeli,Prime,Minister,Benjamin,Netanyahu,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
1002,Memorial,Sloan,Kettering,Cancer,Center,NN1                 ,NP1_NN1             ,NP1                 ,NN1                 ,NN1
993,about,what,other,people,think,II                  ,DDQ                 ,JJ                  ,NN                  ,VV0
989,North,Korean,leader,Kim,Jong,NP1                 ,JJ                  ,NN1                 ,NP1                 ,NP1
989,United,States,Air,Force,Academy,NP1                 ,NP1                 ,NN1                 ,NN1                 ,NN1
981,la,la,la,la,la,FU                  ,FU                  ,FU                  ,FU                  ,FU
980,spending,time,with,his,family,JJ@_VVG_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
955,matters,into,her,own,hands,NN2                 ,II                  ,APPGE               ,DA                  ,NN2
954,New,York,City,Police,Department,NP1                 ,NP1                 ,NN1                 ,NN2                 ,NN1
952,coming,up,with,new,ideas,VVG                 ,RP                  ,IW                  ,JJ                  ,NN2
948,large,skillet,over,medium,heat,JJ                  ,NN1                 ,II                  ,JJ_NN1              ,NN1
942,help,them,achieve,their,goals,VVI                 ,PPHO2               ,VVI                 ,APPGE               ,NN2
925,New,York,Times,bestseller,list,NP1                 ,NP1                 ,NNT2                ,NN1                 ,NN1
923,most,frequently,asked,questions,about,RGT                 ,RR                  ,VVD_VVN@            ,NN2                 ,II
918,learn,something,new,every,day,VV0                 ,PN1                 ,JJ                  ,AT1                 ,NNT1
913,social,media,sites,like,Facebook,JJ                  ,NN                  ,NN2                 ,II                  ,NP1_NN1
911,Card,Industry,Data,Security,Standard,NN1                 ,NN1                 ,NN                  ,NN1                 ,NN1
907,Korean,leader,Kim,Jong,Un,JJ                  ,NN1                 ,NP1                 ,NP1                 ,NP1
899,watch,on-line,free,currently,here,VV0                 ,JJ                  ,JJ                  ,RR                  ,RL
897,really,comes,into,its,own,RR                  ,VVZ                 ,II                  ,APPGE               ,DA
897,White,House,spokesman,Sean,Spicer,NP1                 ,NN1                 ,NN1                 ,NP1                 ,NP1
890,many,people,out,there,who,DA2                 ,NN                  ,RP                  ,RL                  ,PNQS
888,each,with,its,own,unique,DD1                 ,IW                  ,APPGE               ,DA                  ,JJ
886,Deputy,Attorney,General,Rod,Rosenstein,NN1                 ,NN1                 ,JJ                  ,NN1                 ,NP1_NN1@
877,people,with,high,blood,pressure,NN                  ,IW                  ,JJ                  ,NN1                 ,NN1
874,Her,Majesty,Queen,Elizabeth,II,APPGE               ,NN1                 ,NNB                 ,NP1                 ,MC
869,conjunction,with,any,other,offer,II32                ,II33                ,DD                  ,JJ                  ,NN1
867,take,up,too,much,space,VVI                 ,RP                  ,RG                  ,DA1                 ,NN1
862,spending,time,with,his,wife,JJ@_VVG_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
857,large,skillet,over,medium-high,heat,JJ                  ,NN1                 ,II                  ,JJ                  ,NN1
855,very,pleased,with,my,purchase,RG                  ,JJ                  ,IW                  ,APPGE               ,NN1
854,make,up,their,own,minds,VVI                 ,RP                  ,APPGE               ,DA                  ,NN2
851,could,probably,get,away,with,VM                  ,RR                  ,VVI                 ,RL                  ,IW
850,Homeland,Security,Secretary,John,Kelly,NN1                 ,NN1                 ,NN1_NP1@            ,NP1                 ,NP1
848,say,enough,good,things,about,VV0                 ,DD_RR               ,JJ                  ,NN2                 ,II
846,year,after,year,after,year,NNT1                ,II_CS               ,NNT1                ,II_CS               ,NNT1
841,accordance,with,our,Privacy,Policy,II32                ,II33                ,APPGE               ,NN1                 ,NN1
837,go,into,too,much,detail,VVI                 ,II                  ,RG                  ,DA1                 ,NN1
834,combined,with,any,other,offers,VVN                 ,IW                  ,DD                  ,JJ                  ,NN2
833,AussieWeb,Local,Search,business,directory,NP1                 ,NN1_JJ@             ,NN1_VV0             ,NN1                 ,NN1
833,compliance,with,all,applicable,laws,NN1                 ,IW                  ,DB                  ,JJ                  ,NN2
833,make,informed,decisions,about,their,VVI                 ,JJ@                 ,NN2                 ,II                  ,APPGE
832,TCS,New,York,City,Marathon,NP1                 ,NP1                 ,NP1                 ,NN1                 ,NN1
829,Monster,Energy,NASCAR,Cup,Series,NN1_JJ@             ,NN1                 ,NN1_NP1             ,NN1                 ,NN
827,has,made,its,way,into,VHZ                 ,VVN                 ,APPGE               ,NN1                 ,II
824,please,contact,our,support,team,RR                  ,VV0                 ,APPGE               ,NN1                 ,NN1
820,Only,one,entry,per,person,JJ                  ,MC1                 ,NN1                 ,II                  ,NN1
819,Elastic,Integration,Documentation,SnapLogic,Documentation,JJ_NN1              ,NN1                 ,NN1                 ,JJ                  ,NN1
819,SnapLogic,Elastic,Integration,Documentation,SnapLogic,JJ                  ,JJ_NN1              ,NN1                 ,NN1                 ,JJ
815,Texas,Higher,Education,Coordinating,Board,NP1                 ,JJR                 ,NN1                 ,VVG_JJ@             ,NN1
812,Israeli,Prime,Minister,Benjamin,Netanyahu,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1_NN1
808,Prime,Minister,Theresa,May,has,JJ                  ,NN1                 ,NP1                 ,NP1%_NPM1           ,VHZ
806,n't ,know,how,many,times,XX                  ,VVI                 ,RGQ@                ,DA2                 ,NNT2
802,contact,our,customer,service,department,VV0                 ,APPGE               ,NN1                 ,NN1                 ,NN1
793,Each,state,has,its,own,DD1                 ,NN1                 ,VHZ                 ,APPGE               ,DA
793,were,divided,into,two,groups,VBDR                ,VVN                 ,II                  ,MC                  ,NN2
789,taking,up,too,much,space,VVG                 ,RP                  ,RG                  ,DA1                 ,NN1
787,even,after,all,these,years,RR                  ,II                  ,DB                  ,DD2                 ,NNT2
785,Fred,Hutchinson,Cancer,Research,Center,NP1                 ,NP1                 ,NN1                 ,NN1                 ,NN1
785,minimum,cumulative,grade,point,average,JJ                  ,JJ                  ,NN1                 ,NN1                 ,NN1
785,never,had,any,issues,with,RR                  ,VHN                 ,DD                  ,NN2                 ,IW
785,their,money,where,their,mouth,APPGE               ,NN1                 ,CS_RRQ              ,APPGE               ,NN1
781,House,Minority,Leader,Nancy,Pelosi,NN1_VV0@            ,NN1                 ,NN1                 ,NP1                 ,NP1
777,going,into,too,much,detail,VVG                 ,II                  ,RG                  ,DA1                 ,NN1
775,National,Security,Adviser,Michael,Flynn,JJ                  ,NN1                 ,NN1                 ,NP1                 ,NP1
768,any,questions,please,feel,free,DD                  ,NN2                 ,RR                  ,VV0                 ,JJ
764,L,x,W,x,H,ZZ1                 ,ZZ1                 ,ZZ1                 ,ZZ1                 ,ZZ1
754,did,n't ,know,any,better,VDD                 ,XX                  ,VVI                 ,DD                  ,JJR
752,personal,information,with,third,parties,JJ                  ,NN1                 ,IW                  ,MD                  ,NN2
747,Great,Barrier,Reef,Marine,Park,JJ                  ,NN1                 ,NN1                 ,JJ_NN1@             ,NN1
745,accordance,with,generally,accepted,accounting,II32                ,II33                ,RR                  ,JJ_VVN_VVD          ,NN1_VVG_JJ@
743,small,saucepan,over,medium,heat,JJ                  ,NN1                 ,II                  ,JJ_NN1              ,NN1
740,accept,all,major,credit,cards,VV0                 ,DB                  ,JJ                  ,NN1                 ,NN2
740,National,Human,Genome,Research,Institute,JJ                  ,JJ_NN1              ,NN1_NP1             ,NN1                 ,NN1
739,sheet,lined,with,parchment,paper,NN1                 ,VVN                 ,IW                  ,NN1                 ,NN1
731,Very,happy,with,my,purchase,RG                  ,JJ                  ,IW                  ,APPGE               ,NN1
727,Indian,Prime,Minister,Narendra,Modi,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
727,looked,well-organized,offensively,handing,out,VVD                 ,JJ_NN1              ,RR                  ,VVG                 ,RP
723,who,come,into,contact,with,PNQS                ,VV0                 ,II                  ,NN1                 ,IW
717,All,other,things,being,equal,DB_RR@              ,JJ                  ,NN2                 ,VBG                 ,JJ
714,hard,work,has,paid,off,JJ                  ,NN1                 ,VHZ                 ,VVN                 ,RP
713,law,into,their,own,hands,NN1                 ,II                  ,APPGE               ,DA                  ,NN2
712,n't ,think,Ive,ever,seen,XX                  ,VVI                 ,NP1_NN1_VV0         ,RR                  ,VVN
711,what,goes,around,comes,around,DDQ                 ,VVZ                 ,RP                  ,VVZ                 ,RP
710,Russian,Foreign,Minister,Sergey,Lavrov,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
709,St,Vincent,de,Paul,Society,NP1                 ,NP1                 ,NP1                 ,NP1                 ,NN1
709,with,generally,accepted,accounting,principles,II33                ,RR                  ,JJ_VVN_VVD          ,NN1_VVG_JJ@         ,NN2
708,Russian,Foreign,Minister,Sergei,Lavrov,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
706,n't ,know,what,you 're,doing,XX                  ,VVI                 ,DDQ                 ,VV0                 ,VDG
703,news,release,contains,forward-looking,statements,NN1                 ,NN1                 ,VVZ                 ,JJ                  ,NN2
702,know,what,I 'm,talking,about,VVI                 ,DDQ                 ,VV0                 ,VVG                 ,II
702,National,Junior,College,Athletic,Association,JJ                  ,JJ                  ,NN1                 ,JJ                  ,NN1
701,has,his,work,cut,out,VHZ                 ,APPGE               ,NN1                 ,VVN                 ,RP
699,Senate,Majority,Leader,Harry,Reid,NN1                 ,NN1                 ,NN1                 ,NP1                 ,NP1
698,Australian,Prime,Minister,Malcolm,Turnbull,JJ                  ,JJ                  ,NN1                 ,NP1                 ,NP1
695,take,matters,into,his,own,VVI                 ,NN2                 ,II                  ,APPGE               ,DA
694,healthcare,provider,has,their,gender,NN1                 ,NN1                 ,VHZ                 ,APPGE               ,NN1
694,never,had,any,problems,with,RR                  ,VHD_VHN@            ,DD                  ,NN2                 ,IW
694,provider,has,their,gender,reported,NN1                 ,VHZ                 ,APPGE               ,NN1                 ,VVN
693,spend,way,too,much,time,VV0                 ,NN1_RR%             ,RG                  ,DA1                 ,NNT1
693,without,taking,up,too,much,IW                  ,VVG                 ,RP                  ,RG                  ,DA1
692,day,after,day,after,day,NNT1                ,II_CS               ,NNT1                ,II_CS               ,NNT1
688,with,great,power,comes,great,IW                  ,JJ                  ,NN1                 ,VVZ                 ,JJ
686,spending,time,with,her,husband,JJ@_VVG_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
682,post,may,contain,affiliate,links,NN1                 ,VM                  ,VVI                 ,NN1                 ,NN2_VVZ
681,baking,sheet,lined,with,parchment,NN1_JJ@             ,NN1                 ,VVN                 ,IW                  ,NN1
681,Texas,MD,Anderson,Cancer,Center,NP1                 ,NNA                 ,NP1                 ,NN1                 ,NN1
678,Late,Show,with,Stephen,Colbert,JJ                  ,NN1                 ,IW                  ,NP1                 ,NP1
673,spend,time,with,my,family,VVI                 ,NNT1                ,IW                  ,APPGE               ,NN1
671,NASCAR,Camping,World,Truck,Series,NN1_NP1             ,NN1                 ,NN1                 ,NN1                 ,NN
667,know,what,you 're,talking,about,VV0                 ,DDQ                 ,VV0                 ,VVG                 ,II
665,say,enough,great,things,about,VVI                 ,DD_RR               ,JJ                  ,NN2                 ,II
665,shall,remain,available,until,expended,VM                  ,VVI                 ,JJ                  ,CS                  ,VVN
664,may,come,into,contact,with,VM                  ,VVI                 ,II                  ,NN1                 ,IW
664,Prime,Minister,Malcolm,Turnbull,has,JJ                  ,NN1                 ,NP1                 ,NP1                 ,VHZ
663,Cape,Canaveral,Air,Force,Station,NP1                 ,NP1                 ,NN1                 ,NN1                 ,NN1
663,n't ,just,take,our,word,XX                  ,RR                  ,VVI                 ,APPGE               ,NN1
662,figure,out,what,went,wrong,VVI                 ,RP                  ,DDQ                 ,VVD                 ,RR
658,my,money,where,my,mouth,APPGE               ,NN1                 ,CS_RRQ              ,APPGE               ,NN1
658,taken,into,custody,without,incident,VVN                 ,II                  ,NN1                 ,IW                  ,NN1
656,release,may,contain,forward-looking,statements,NN1                 ,VM                  ,VVI                 ,JJ_NN1              ,NN2
653,did,n't ,even,think,about,VDD                 ,XX                  ,RR                  ,VVI                 ,II
652,his,hands,behind,his,back,APPGE               ,NN2                 ,II                  ,APPGE               ,NN1
650,pixel,with,approximate,file,size,NN1                 ,IW                  ,JJ                  ,NN1                 ,NN1
650,real,estate,agents,who,specialize,JJ                  ,NN1                 ,NN2                 ,PNQS                ,VV0
645,Johns,River,Water,Management,District,NP1                 ,NN1                 ,NN1                 ,NN1                 ,NN1
644,Fair,Debt,Collection,Practices,Act,JJ                  ,NN1                 ,NN1                 ,NN2_VVZ@            ,NN1_VV0@
644,know,what,you 're,talking,about,VVI                 ,DDQ                 ,VV0                 ,VVG                 ,II
638,each,one,has,its,own,DD1                 ,PN1                 ,VHZ                 ,APPGE               ,DA
638,his,money,where,his,mouth,APPGE               ,NN1                 ,CS_RRQ              ,APPGE               ,NN1
635,would,definitely,stay,here,again,VM                  ,RR                  ,VVI                 ,RL                  ,RT
634,people,with,mental,health,issues,NN                  ,IW                  ,JJ                  ,NN1                 ,NN2
631,Foreign,Account,Tax,Compliance,Act,JJ                  ,NN1                 ,NN1                 ,NN1                 ,NN1
626,Federal,Supplemental,Educational,Opportunity,Grant,JJ                  ,JJ                  ,JJ                  ,NN1                 ,NP1_NN1@
625,My,Big,Fat,Greek,Wedding,APPGE               ,JJ                  ,JJ_NN1              ,JJ_NN1              ,NN1
624,former,national,security,adviser,Michael,DA                  ,JJ                  ,NN1                 ,NN1                 ,NP1
624,has,spent,his,entire,career,VHZ                 ,VVN                 ,APPGE               ,JJ                  ,NN1
622,pregnant,with,her,first,child,JJ                  ,IW                  ,APPGE               ,MD                  ,NN1
620,those,who,gave,their,lives,DD2                 ,PNQS                ,VVD                 ,APPGE               ,NN2
619,one,size,fits,all,approach,MC1                 ,NN1                 ,VVZ                 ,DB                  ,NN1_VV0@
618,New,York,Stock,Exchange,under,NP1                 ,NP1                 ,NN1                 ,NN1                 ,II
618,Walter,Reed,Army,Medical,Center,NP1                 ,NP1                 ,NN1                 ,JJ                  ,NN1
613,Late,Show,with,David,Letterman,JJ                  ,NN1                 ,IW                  ,NP1                 ,NP1_NN1
612,during,New,York,Fashion,Week,II                  ,NP1                 ,NP1                 ,NN1                 ,NNT1
611,United,States,Holocaust,Memorial,Museum,NP1                 ,NP1                 ,NP1                 ,NN1                 ,NN1
609,what,could,possibly,go,wrong,DDQ                 ,VM                  ,RR                  ,VVI                 ,RR
607,took,matters,into,his,own,VVD                 ,NN2                 ,II                  ,APPGE               ,DA
606,children,with,special,educational,needs,NN2                 ,IW                  ,JJ                  ,JJ                  ,NN2
606,hard,time,keeping,up,with,JJ                  ,NNT1                ,VVG                 ,RP                  ,IW
606,make,their,own,decisions,about,VVI                 ,APPGE               ,DA                  ,NN2                 ,II
606,With,great,power,comes,great,IW                  ,JJ                  ,NN1                 ,VVZ                 ,JJ
604,New,York,State,Bar,Association,NP1                 ,NP1                 ,NN1_NP1@_VV0        ,NN1                 ,NN1
602,Memorial,Day,through,Labor,Day,NN1                 ,NNT1_NP1            ,II                  ,NN1                 ,NNT1
602,Prime,Minister,Theresa,May,said,JJ                  ,NN1                 ,NP1                 ,NP1%_NPM1           ,VVD
600,people,with,weakened,immune,systems,NN                  ,IW                  ,JJ@                 ,JJ                  ,NN2
599,love,spending,time,with,my,VV0                 ,VVG_JJ@_NN1         ,NNT1                ,IW                  ,APPGE
599,New,York,Times,Best,Seller,NP1                 ,NP1                 ,NNT2                ,JJT                 ,NN1
598,kitchen,with,stainless,steel,appliances,NN1                 ,IW                  ,JJ                  ,NN1                 ,NN2
598,Texas,Tech,University,Health,Sciences,NP1                 ,NN1                 ,NN1                 ,NN1                 ,NN2
593,par,par,par,par,par,NN1                 ,NN1                 ,NN1                 ,NN1                 ,NN1
593,Supreme,Court,Justice,Antonin,Scalia,JJ                  ,NN1                 ,NN1_NP1@            ,NP1                 ,NP1
591,which,has,its,main,offices,DDQ                 ,VHZ                 ,APPGE               ,JJ                  ,NN2
591,would,definitely,use,them,again,VM                  ,RR                  ,VVI                 ,PPHO2               ,RT
588,skillet,over,medium,high,heat,NN1                 ,II                  ,JJ_NN1              ,JJ                  ,NN1
586,contact,our,Customer,Service,team,VV0                 ,APPGE               ,NN1                 ,NN1                 ,NN1
586,page,lists,many,detailed,information,NN1                 ,VVZ                 ,DA2                 ,JJ                  ,NN1
584,National,Student,Loan,Data,System,JJ                  ,NN1                 ,NN1                 ,NN                  ,NN1
582,Private,Securities,Litigation,Reform,Act,JJ                  ,NN2                 ,NN1                 ,NN1                 ,NN1
581,independent,registered,public,accounting,firm,JJ                  ,JJ                  ,JJ_NN1              ,NN1_VVG             ,NN1_JJ
580,has,had,its,fair,share,VHZ                 ,VHN                 ,APPGE               ,JJ                  ,NN1
579,has,extensive,experience,working,with,VHZ                 ,JJ                  ,NN1                 ,VVG                 ,IW
579,really,did,n't ,know,what,RR                  ,VDD                 ,XX                  ,VVI                 ,DDQ
578,hard,time,coming,up,with,JJ                  ,NNT1                ,VVG                 ,RP                  ,IW
577,numerous,syllabic,anomalies,found,within,JJ                  ,JJ                  ,NN2                 ,VVN_VVD             ,II
576,come,up,with,my,own,VVI                 ,RP                  ,IW                  ,APPGE               ,DA
576,must,comply,with,all,applicable,VM                  ,VVI                 ,IW                  ,DB                  ,JJ
576,North,American,International,Auto,Show,NP1                 ,JJ                  ,JJ                  ,NN1                 ,NN1
575,Tech,University,Health,Sciences,Center,NN1                 ,NN1                 ,NN1                 ,NN2                 ,NN1
574,Royal,Commission,into,Institutional,Responses,JJ                  ,NN1                 ,II                  ,JJ                  ,NN2
572,goes,up,must,come,down,VVZ                 ,RP                  ,VM                  ,VVI                 ,RP
572,North,York,Moors,National,Park,ND1                 ,NP1                 ,NN2                 ,JJ                  ,NN1
572,Please,contact,our,customer,service,RR                  ,VV0                 ,APPGE               ,NN1                 ,NN1
571,Case,Western,Reserve,University,School,NN1                 ,JJ_NP1              ,JJ_NN1              ,NN1                 ,NN1
571,come,up,with,something,new,VVI                 ,RP                  ,IW                  ,PN1                 ,JJ
569,frying,pan,over,medium,heat,NN1                 ,NN1                 ,II_RP               ,JJ_NN1              ,NN1
567,American,Health,Information,Management,Association,JJ                  ,NN1                 ,NN1                 ,NN1                 ,NN1
567,ha,ha,ha,ha,ha,UH                  ,UH                  ,UH                  ,UH                  ,UH
567,spending,time,with,his,wife,VVG_JJ@_NN1         ,NNT1                ,IW                  ,APPGE               ,NN1
564,Army,during,World,War,II,NN1                 ,II                  ,NN1                 ,NN1                 ,MC
564,National,Weather,Service,has,issued,JJ                  ,NN1                 ,NN1                 ,VHZ                 ,VVN
563,chftn,footnote,pardplain,qj,LONG,NNU                 ,NN1_VV0             ,VV0_NN1             ,NNU                 ,RR_JJ
562,figure,out,what,works,best,VVI                 ,RP                  ,DDQ                 ,VVZ                 ,RRT
561,has,seen,its,fair,share,VHZ                 ,VVN                 ,APPGE               ,JJ                  ,NN1
561,pregnant,with,her,second,child,JJ                  ,IW                  ,APPGE               ,MD                  ,NN1
